codigo_act,descripcion,categoria_negocio
621511,Actividad no identificada,otro
621391,Actividad no identificada,otro
623991,Actividad no identificada,otro
624121,Actividad no identificada,otro
623311,Actividad no identificada,otro
621398,Actividad no identificada,otro
621111,Actividad no identificada,otro
621341,Actividad no identificada,otro
621421,Actividad no identificada,otro
622111,Actividad no identificada,otro
621910,Actividad no identificada,otro
624411,Actividad no identificada,otro
621311,Actividad no identificada,otro
624221,Actividad no identificada,otro
624222,Actividad no identificada,otro
623992,Actividad no identificada,otro
623111,Actividad no identificada,otro
624211,Actividad no identificada,otro
624199,Actividad no identificada,otro
622112,Actividad no identificada,otro
621320,Actividad no identificada,otro
621491,Actividad no identificada,otro
623211,Actividad no identificada,otro
621115,Actividad no identificada,otro
624111,Actividad no identificada,otro
621610,Actividad no identificada,otro
624231,Actividad no identificada,otro
622311,Actividad no identificada,otro
622211,Actividad no identificada,otro
624212,Actividad no identificada,otro
621991,Actividad no identificada,otro
624232,Actividad no identificada,otro
624112,Actividad no identificada,otro
621112,Actividad no identificada,otro
621116,Actividad no identificada,otro
624198,Actividad no identificada,otro
624122,Actividad no identificada,otro
624412,Actividad no identificada,otro
624311,Actividad no identificada,otro
624312,Actividad no identificada,otro
621399,Actividad no identificada,otro
621412,Actividad no identificada,otro
621332,Actividad no identificada,otro
623312,Actividad no identificada,otro
621342,Actividad no identificada,otro
621422,Actividad no identificada,otro
621411,Actividad no identificada,otro
621212,Actividad no identificada,otro
622312,Actividad no identificada,otro
622212,Actividad no identificada,otro
621512,Actividad no identificada,otro
623212,Actividad no identificada,otro
623112,Actividad no identificada,otro
621492,Actividad no identificada,otro
713943,Actividad no identificada,otro
713941,Actividad no identificada,otro
713291,Actividad no identificada,otro
713113,Actividad no identificada,otro
711212,Actividad no identificada,otro
713120,Actividad no identificada,otro
711311,Actividad no identificada,otro
711131,Actividad no identificada,otro
712111,Actividad no identificada,otro
713998,Actividad no identificada,otro
713111,Actividad no identificada,otro
711510,Actividad no identificada,otro
712112,Actividad no identificada,otro
711312,Actividad no identificada,otro
713299,Actividad no identificada,otro
713950,Actividad no identificada,otro
713112,Actividad no identificada,otro
713991,Actividad no identificada,otro
711111,Actividad no identificada,otro
713992,Actividad no identificada,otro
713944,Actividad no identificada,otro
711121,Actividad no identificada,otro
711191,Actividad no identificada,otro
711320,Actividad no identificada,otro
711211,Actividad no identificada,otro
712131,Actividad no identificada,otro
713999,Actividad no identificada,otro
713942,Actividad no identificada,otro
712132,Actividad no identificada,otro
722514,Actividad no identificada,otro
722516,Actividad no identificada,otro
722518,Actividad no identificada,otro
722515,Actividad no identificada,otro
721111,Actividad no identificada,otro
722511,Actividad no identificada,otro
722412,Actividad no identificada,otro
722512,Actividad no identificada,otro
722517,Actividad no identificada,otro
722519,Actividad no identificada,otro
722310,Actividad no identificada,otro
722330,Actividad no identificada,otro
721112,Actividad no identificada,otro
722320,Actividad no identificada,otro
721190,Actividad no identificada,otro
721210,Actividad no identificada,otro
721113,Actividad no identificada,otro
722513,Actividad no identificada,otro
722411,Actividad no identificada,otro
721312,Actividad no identificada,otro
721311,Actividad no identificada,otro
811111,Actividad no identificada,otro
812110,Actividad no identificada,otro
813210,Actividad no identificada,otro
811115,Actividad no identificada,otro
811410,Actividad no identificada,otro
811114,Actividad no identificada,otro
811312,Actividad no identificada,otro
811121,Actividad no identificada,otro
811112,Actividad no identificada,otro
812210,Actividad no identificada,otro
811122,Actividad no identificada,otro
811219,Actividad no identificada,otro
813230,Actividad no identificada,otro
811491,Actividad no identificada,otro
811199,Actividad no identificada,otro
812130,Actividad no identificada,otro
811499,Actividad no identificada,otro
811191,Actividad no identificada,otro
811129,Actividad no identificada,otro
811493,Actividad no identificada,otro
811119,Actividad no identificada,otro
811192,Actividad no identificada,otro
811313,Actividad no identificada,otro
813110,Actividad no identificada,otro
812410,Actividad no identificada,otro
813120,Actividad no identificada,otro
812990,Actividad no identificada,otro
811430,Actividad no identificada,otro
812322,Actividad no identificada,otro
811113,Actividad no identificada,otro
811116,Actividad no identificada,otro
811311,Actividad no identificada,otro
811314,Actividad no identificada,otro
811420,Actividad no identificada,otro
813130,Actividad no identificada,otro
812910,Actividad no identificada,otro
811211,Actividad no identificada,otro
813140,Actividad no identificada,otro
811492,Actividad no identificada,otro
812120,Actividad no identificada,otro
812310,Actividad no identificada,otro
811123,Actividad no identificada,otro
812321,Actividad no identificada,otro
931210,Actividad no identificada,otro
931810,Actividad no identificada,otro
931610,Actividad no identificada,otro
931411,Actividad no identificada,otro
931412,Actividad no identificada,otro
931310,Actividad no identificada,otro
931110,Actividad no identificada,otro
931510,Actividad no identificada,otro
932110,Actividad no identificada,otro
931710,Actividad no identificada,otro
